id,name,detail,date,stature,school
411,india8 Satyakama Jabali +,,-700,Minor philosopher,
412,india9 Chakrayana Ushasti +,,-700,Minor philosopher,
413,india10 Ghora Angirasa +,,-700,Minor philosopher,
414,india11 Aupamanayava,,-700,Minor philosopher,
415,india12 Prachinayogya,,-700,Minor philosopher,
416,india13 Vaisyagrahpadya,,-700,Minor philosopher,
417,india14 Sharkarakshya,,-700,Minor philosopher,
418,india15 Budila,,-700,Minor philosopher,
419,india16 Parshvanatha,"last of 24 Jaina predecessors, some mythical",-700,Minor philosopher,Jaina
420,india17 Brihaspati,pre-Buddhist skeptic/Lokayata materialist?,-500,Minor philosopher,Lokayata (materialist)
421,india18 Sanjaya,skeptic,-500,Minor philosopher,skeptic
422,india19 Alara Kalama,meditation master,-500,Minor philosopher,
423,india20 Uddaka Ramaputta,ascetic,-500,Minor philosopher,
424,india21 King Bimbisara of Magadha,,-500,Minor philosopher,
425,india22 Buddha's followers,debated Mahavira,-500,Minor philosopher,Buddhist
426,india23 Mahavira's followers,debated Buddha,-500,Minor philosopher,Jaina
427,india24 Purana Kashyapa,"or Kassapa; skeptic, denied karma and morality; converted by Buddha",-500,Minor philosopher,skeptic
428,india25 Pakudha Kaccayana,or Kakuda Katyayana; 7 elements; denied karma,-500,Minor philosopher,skeptic
429,india26 Ajita Keshakambala,4 elements; Lokayata materialist,-500,Minor philosopher,Lokayata (materialist)
430,india27 Payasi,Lokayata materialist,-500,Minor philosopher,Lokayata (materialist)
431,"india28 ""Kanada""",early Vaisheshika,-500,Minor philosopher,Vaisheshika
432,india29 Sariputra,Buddha's major disciple,-500,Minor philosopher,Buddhist
433,india30 Moggallana (Maudgalyayana),same,-500,Minor philosopher,Buddhist
434,india31 Devadatta,early revolt within Buddhism,-500,Minor philosopher,Buddhist
435,india32 Moggaliputta-tissa,organized Buddhist missions,-300,Minor philosopher,
436,india33 Nagasena,Buddhist debater +,-300,Minor philosopher,
437,india34 Katyayana,"Katyayaniputra, predecessor of Sarvastivada +",-300,Minor philosopher,
438,india35 Dharmatrata,early devel. of Sarvastivada +,-300,Minor philosopher,
439,india36 Nachikitas,in Katha Up.,-300,Minor philosopher,
440,india37 Shvetashvatara,in Shvetashvatara Up.,-300,Minor philosopher,
441,"india38 ""Kapila""",same,-300,Minor philosopher,
442,"india39 ""Asuri""",converted from Lokayata and Ajivikas +,-300,Minor philosopher,
443,india40 Varuna,in Taittiriya Up.,-300,Minor philosopher,
444,india41 Mahachamasya,same,-300,Minor philosopher,
445,india42 Pippalada,in Prashnopanishad,-300,Minor philosopher,
446,india43 Pratardana,in Kaushitaki Up.,-300,Minor philosopher,
447,india44 Mahadeva Buddhist,"f. Chaitiya sect, stupa worship +",-200,Minor philosopher,
448,india45 Kumaralabdha,f. Sautrantika? +,-200,Minor philosopher,
449,india46 Upatissa,Pali Theravada compendium +,1,Minor philosopher,
450,"india47 ""Panchashikha""",early Samkhya figurehead? +,1,Minor philosopher,
451,india48 Kumaralata,Sarvastivadin,100,Minor philosopher,Sarvastivadin
452,india49 Matracheta,Buddhist court poet,100,Minor philosopher,"Buddhist, poet"
453,india50 Buddhadeva,Sarvastivadin +,100,Minor philosopher,
454,india51 Bhadanta Ghoshaka,Sarvastivadin +,100,Minor philosopher,
455,"india5la ""Gautama""",Mithila? f. Nyaya +,100,Minor philosopher,
456,india52 Upavarsha,"Vedanta/Mimamsa, 1st Brahmasutra cm. +",100,Minor philosopher,
457,india53 Charaka,compiled medical text +,100,Minor philosopher,
458,india54 Lakulisha?,f. Shaiva dualism +,100,Minor philosopher,
459,india55 Dharmashri,Sarvastivadin +,200,Minor philosopher,
460,india56 Upashanta,Sarvastivadin +,200,Minor philosopher,
461,india57 Paurika?,earliest distinctive Samkhya +,200,Minor philosopher,
462,india58 Panchadhikarana,same +,200,Minor philosopher,
463,india59 Pantanjali,not Yogin; early Samkhya +,200,Minor philosopher,
464,india60 Varshaganya?,crystallized Samkhya +,200,Minor philosopher,
465,india61 Shabara?,"Mimamsa, cm. ""Jaimini"" +",200,Minor philosopher,
466,india62 Harivarman,Sautrantika +,300,Minor philosopher,
467,india63 Saramati,Yogacara +,300,Minor philosopher,
468,india64 Sanghamitra,"Shri Lanka, crit. Theravada +",400,Minor philosopher,
469,india65 Buddhadatta,Shri Lanka +,400,Minor philosopher,
470,india66 Dhammapala,Shri Lanka +,400,Minor philosopher,
471,india66a Shrilabdha,Sautrantika +,400,Minor philosopher,
472,india67 Buddhamitra,Sautrantika,400,Minor philosopher,Sautrantika
473,india68 Vindhyavasin,"revised older Samkhya, debated 67",400,Minor philosopher,Samkhya
474,india69 Madhava,"Samkhya ""heretic,"" debated 73",400,Minor philosopher,Samkhya
475,india70 Vasubandhu's pupil,brother-in-law of 71,400,Minor philosopher,
476,india71 Vasurata,,400,Minor philosopher,
477,india72 Chandramati,unorthodox Vaisheshika +,400,Minor philosopher,
478,india73 Gunamati,"Sarvastivadin, crit. Samkhya, Vaisheshika, and Jainism",500,Minor philosopher,Sarvastivadin
479,india74 Ashvabhava,,500,Minor philosopher,
480,india74a Vasuvarman,Sarvastivadin +,500,Minor philosopher,
481,india75 Guiiaprabha,"converted from Yogacara to Sarvastivada, attacked Mahayana +",500,Minor philosopher,
482,india76 Arya-Vimuktasena,Yogacara +,500,Minor philosopher,
483,india77 Bhadanta-Vimuktasena,Yogacara +,500,Minor philosopher,
